already-tested LR combos: 5
remaining untested combos to try: 1600
[259] LR_20260709_081848 f1_up=0.5475 | C=7.475e+02 solver=lbfgs | elapsed=1211s
[260] LR_20260709_081852 f1_up=0.5482 | C=1.349e-04 solver=liblinear | elapsed=1216s
[261] LR_20260709_081857 f1_up=0.5482 | C=1.009e-05 solver=lbfgs | elapsed=1219s
[262] LR_20260709_081900 f1_up=0.5477 | C=8.886e+02 solver=liblinear | elapsed=1229s
[263] LR_20260709_081910 f1_up=0.5481 | C=1.476e-05 solver=lbfgs | elapsed=1231s
[264] LR_20260709_081912 f1_up=0.5477 | C=4.411e-01 solver=liblinear | elapsed=1240s
[265] LR_20260709_081921 f1_up=0.5477 | C=9.332e+03 solver=liblinear | elapsed=1249s
[266] LR_20260709_081930 f1_up=0.5481 | C=3.077e-02 solver=liblinear | elapsed=1258s
[267] LR_20260709_081939 f1_up=0.5477 | C=2.152e+02 solver=liblinear | elapsed=1270s
[268] LR_20260709_081952 f1_up=0.5483 | C=2.293e-08 solver=lbfgs | elapsed=1273s
[269] LR_20260709_081955 f1_up=0.5477 | C=4.566e-01 solver=liblinear | elapsed=1286s
[270] LR_20260709_082008 f1_up=0.5477 | C=3.819e+01 solver=liblinear | elapsed=1299s
[271] LR_20260709_082021 f1_up=0.5480 | C=2.032e-02 solver=lbfgs | elapsed=1306s
[272] LR_20260709_082028 f1_up=0.5483 | C=1.506e-06 solver=lbfgs | elapsed=1310s
[273] LR_20260709_082032 f1_up=0.5483 | C=5.080e-08 solver=liblinear | elapsed=1315s
[274] LR_20260709_082037 f1_up=0.5478 | C=2.300e-03 solver=liblinear | elapsed=1325s
[275] LR_20260709_082046 f1_up=0.5477 | C=9.386e+01 solver=liblinear | elapsed=1338s
[276] LR_20260709_082059 f1_up=0.5480 | C=1.488e-02 solver=liblinear | elapsed=1348s
[277] LR_20260709_082110 f1_up=0.5477 | C=2.913e-01 solver=liblinear | elapsed=1359s
[278] LR_20260709_082120 f1_up=0.5475 | C=1.991e-01 solver=lbfgs | elapsed=1364s
